code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
601336,新华保险,0.48,,,,,57700.0,,,11-22
601633,长城汽车,,,,,,86990.09,,,09-27
300259,新天科技,0.23,,,,-0.17,1281.24,,,08-29
300254,仟源医药,0.26,,,21.02,-0.15,2598.29,,,08-18
300257,开山股份,0.96,,,,2.06,10323.26,,,08-18
300256,星星科技,0.36,,,15.47,-0.44,2138.17,,,08-18
300255,常山药业,0.35,,,16.27,0.27,2820.36,,,08-18
300253,卫宁健康,0.27,,,,-0.41,1091.16,,,08-17
300252,金信诺,0.26,,,12.21,-0.39,2101.46,,,08-17
002610,爱康科技,0.18,,,,0.14,2781.43,,,08-12
002608,*ST舜船,1.33,,,,1.27,14674.29,,,08-09
002607,亚夏汽车,0.5,,,,0.34,3329.7,,,08-09
601222,林洋能源,0.26,,,13.74,-0.34,5491.46,,,08-05
002605,姚记扑克,0.58,,,,0.53,4088.86,,,08-04
300249,依米康,0.17,,,,-0.38,986.41,,,08-02
300251,光线传媒,0.48,,,24.94,0.52,3953.09,,,08-02
300250,初灵信息,0.56,,,28.31,0.25,1680.27,,,08-02
300248,新开普,0.02,,,,-0.7,138.39,,,07-28
300247,乐金健康,0.25,-13.79,,,0.02,1560.94,-4.94,,07-28
002603,以岭药业,0.29,,,12.6,0.0,10590.43,,,07-27
002604,龙力生物,0.27,,,,0.83,4116.03,,,07-27
300246,宝莱特,0.46,,,,0.53,1387.47,,,07-18
002599,盛通股份,0.17,,,,0.89,1688.45,,,07-14
601669,中国电建,0.2,,,,,129429.73,,,04-20
300226,上海钢联,0.38,,,15.29,,1149.76,,,02-16
002554,惠博普,0.19,,2.29,8.84,0.41,1934.75,,,01-31
002553,南方轴承,0.27,,2.11,12.88,0.4,1727.73,,,01-31
601992,金隅股份,0.26,,3.97,6.43,-1.21,101376.05,,,01-31
002552,宝鼎科技,0.43,,3.2,13.91,0.62,3189.19,,,01-31
002551,尚荣医疗,0.36,,4.08,9.28,0.7,2227.43,,,01-31
300181,佐力药业,0.32,,3.08,10.9,0.61,1910.02,,,01-26
300180,华峰超纤,0.39,,2.72,15.62,0.38,4656.19,,,01-26
300184,力源信息,0.26,,2.18,12.43,0.76,1276.2,,,01-26
300183,东软载波,0.49,,1.61,33.91,0.16,3693.98,,,01-26
300182,捷成股份,0.64,,3.54,19.83,0.32,2679.87,,,01-26
002550,千红制药,0.7,,2.73,29.29,1.16,8362.33,,,01-24
002548,金新农,0.39,,2.52,16.2,0.17,2701.02,,,01-24
300199,翰宇药业,0.25,,1.95,13.71,0.19,1879.89,,,01-21
300214,日科化学,0.41,,2.31,18.76,0.33,4052.63,,,01-20
002563,森马服饰,0.56,,,28.91,-0.12,33881.3,,,01-20
601199,江南水务,0.16,,2.43,6.64,0.62,2778.78,,,01-20
300175,朗源股份,0.27,,2.22,13.16,-0.03,2194.24,,,01-19
300179,四方达,0.28,,2.26,13.32,0.38,1695.76,,,01-19
300177,中海达,0.54,,3.22,18.31,-0.05,2027.19,,,01-19
300176,鸿特精密,0.28,,1.93,15.37,0.27,1842.8,,,01-19
601799,星宇股份,0.37,,1.98,20.29,0.12,6462.21,,,01-17
002545,东方铁塔,0.65,,3.86,18.25,-0.27,8386.02,,,01-17
300170,汉得信息,0.3,,2.16,15.14,-0.1,2598.21,,,01-14
300192,科斯伍德,0.26,,2.43,11.11,0.33,1407.89,,,01-14
